05/12 17:09:06:763	touchX: 1159 touchY: 158
05/12 17:09:06:777	touchX: 1163 touchY: 126
05/12 17:09:06:784	touchX: 1168 touchY: 96
05/12 17:09:06:797	touchX: 1173 touchY: 72
05/12 17:09:06:804	touchX: 1177 touchY: 55
05/12 17:09:06:817	touchX: 1179 touchY: 47
05/12 17:09:06:825	touchX: 1178 touchY: 42
05/12 17:09:06:838	touchX: 1175 touchY: 43
05/12 17:09:06:874	touchX: 1175 touchY: 43
05/12 17:09:08:722	touchX: 1136 touchY: 149
05/12 17:09:08:726	touchX: 1133 touchY: 149
05/12 17:09:08:738	touchX: 1133 touchY: 149
05/12 17:09:08:745	touchX: 1132 touchY: 153
05/12 17:09:08:758	touchX: 1130 touchY: 161
05/12 17:09:08:765	touchX: 1127 touchY: 174
05/12 17:09:08:778	touchX: 1124 touchY: 193
05/12 17:09:08:787	touchX: 1121 touchY: 219
05/12 17:09:08:798	touchX: 1121 touchY: 249
05/12 17:09:08:806	touchX: 1123 touchY: 281
05/12 17:09:08:811	touchX: 1127 touchY: 313
05/12 17:09:08:824	touchX: 1132 touchY: 341
05/12 17:09:08:842	touchX: 1136 touchY: 361
05/12 17:09:08:876	touchX: 1136 touchY: 361
05/12 17:10:55:243	Task: Left touchX: 748 touchY: 229
05/12 17:10:55:253	Task: Left touchX: 739 touchY: 224
05/12 17:10:55:254	Task: Left touchX: 731 touchY: 223
05/12 17:10:55:259	Task: Left touchX: 719 touchY: 220
05/12 17:10:55:267	Task: Left touchX: 707 touchY: 217
05/12 17:10:55:279	Task: Left touchX: 693 touchY: 215
05/12 17:10:55:283	Task: Left touchX: 680 touchY: 214
05/12 17:10:55:298	Task: Left touchX: 665 touchY: 213
05/12 17:10:55:306	Task: Left touchX: 652 touchY: 213
05/12 17:10:55:317	Task: Left touchX: 638 touchY: 213
05/12 17:10:55:324	Task: Left touchX: 625 touchY: 213
05/12 17:10:55:336	Task: Left touchX: 612 touchY: 213
05/12 17:10:55:346	Task: Left touchX: 612 touchY: 213
05/12 17:11:14:908	Task: Up touchX: 949 touchY: 264
05/12 17:11:14:912	Task: Up touchX: 947 touchY: 259
05/12 17:11:14:933	Task: Up touchX: 944 touchY: 259
05/12 17:11:14:946	Task: Up touchX: 941 touchY: 255
05/12 17:11:14:953	Task: Up touchX: 938 touchY: 251
05/12 17:11:14:966	Task: Up touchX: 937 touchY: 246
05/12 17:11:14:976	Task: Up touchX: 935 touchY: 240
05/12 17:11:14:986	Task: Up touchX: 935 touchY: 232
05/12 17:11:14:994	Task: Up touchX: 935 touchY: 223
05/12 17:11:15:006	Task: Up touchX: 935 touchY: 211
05/12 17:11:15:014	Task: Up touchX: 936 touchY: 199
05/12 17:11:15:026	Task: Up touchX: 937 touchY: 185
05/12 17:11:15:033	Task: Up touchX: 938 touchY: 171
05/12 17:11:15:045	Task: Up touchX: 938 touchY: 157
05/12 17:11:15:052	Task: Up touchX: 937 touchY: 144
05/12 17:11:15:068	Task: Up touchX: 935 touchY: 131
05/12 17:11:15:077	Task: Up touchX: 935 touchY: 131
05/12 17:11:24:315	Task: Right touchX: 938 touchY: 222
05/12 17:11:24:319	Task: Right touchX: 952 touchY: 217
05/12 17:11:24:330	Task: Right touchX: 965 touchY: 212
05/12 17:11:24:337	Task: Right touchX: 978 touchY: 208
05/12 17:11:24:351	Task: Right touchX: 993 touchY: 205
